institution,slug,country,continent,repository_code,archive_type,filmoteca_vasca_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/carrera_ciclista_2614_4,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/carrera_ciclista_8685_6,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/carrera_ciclista_san_sebastian_4599_2,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/entidades-beneficas-espanolas-caja-de-ahorros-y-monte-de-piedad-municipal-de-bilbao,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/fiestas-de-san-juan-en-hernani,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/jose-antonio-de-aguirre-en-new-york,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/tour_de_francia_4599_13,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/semana-santa-en-bilbao-1946-domingo-de-ramos,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/un-dia-de-playa-en-arrigunaga-getxo-bizkaia,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/vuelta_a_espana_4179_36,ok,200,1,1,,
