institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432559?page_size=50&page=1,ok,200,15,0,"Lista DRTV/Gensyn 432559, página 1/1; coleção: Gensyn: 1950'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432558?page_size=50&page=1,ok,200,42,0,"Lista DRTV/Gensyn 432558, página 1/3; coleção: Gensyn: 1960'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432558?page_size=50&page=2,ok,200,36,0,"Lista DRTV/Gensyn 432558, página 2/3; coleção: Gensyn: 1960'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432558?page_size=50&page=3,ok,200,14,0,"Lista DRTV/Gensyn 432558, página 3/3; coleção: Gensyn: 1960'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432557?page_size=50&page=1,ok,200,40,0,"Lista DRTV/Gensyn 432557, página 1/4; coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432557?page_size=50&page=2,ok,200,32,0,"Lista DRTV/Gensyn 432557, página 2/4; coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432557?page_size=50&page=3,ok,200,32,0,"Lista DRTV/Gensyn 432557, página 3/4; coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432557?page_size=50&page=4,ok,200,1,0,"Lista DRTV/Gensyn 432557, página 4/4; coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432556?page_size=50&page=1,ok,200,22,0,"Lista DRTV/Gensyn 432556, página 1/4; coleção: Gensyn: 1980'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432556?page_size=50&page=2,ok,200,22,0,"Lista DRTV/Gensyn 432556, página 2/4; coleção: Gensyn: 1980'erne - Se programmer fra DR's arkiv her.",
