institution,slug,country,continent,repository_code,archive_type,iam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/anthony-gatto-au-jonglage/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/la-poste-hongroise-des-alievs/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/alexis-gruss-et-son-cheval/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/cavalerie-en-liberte-de-yasmine-smart/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/marina-bouglione-a-la-corde-lisse/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/remise-du-clown-dor-aux-beljakows/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/voiture-star/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/bernice-extrait/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/terminus-tout-le-monde-descend/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/100-ans-56-ans/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/grand-prix-du-casino-au-tir-aux-pigeons/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
