institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,YouTube,https://www.youtube.com/embed/8hL8KdjwlAo?autoplay=0&start=0&rel=0&mute=0,YouTube,YouTube,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,YouTube,https://www.youtube.com/embed/SBGyYy5r5vk?autoplay=0&start=0&rel=0&mute=0,YouTube,YouTube,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,YouTube,https://www.youtube.com/embed/DiSsIGhniJU?autoplay=0&start=0&rel=0&mute=0,YouTube,YouTube,,
Archives départementales de la Marne,archives-d-partementales-de-la-marne,France,Europe,FR-FRAD051,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD051,True,True,http://archives.marne.fr,YouTube,https://www.youtube.com/watch?v=6fxloe7XbS8,Tutoriel pour chercher la référence d'un journal conservé aux Archives départementales de la Marne,Tutoriel pour chercher la référence d'un journal conservé aux Archives départementales de la Marne,Ce tutoriel vous aide à trouver sur le site portail des Archives de la Marne (archives.marne.fr) la référence d'un journal conservé et répond par exemple aux...,2022-09-29T01:01:42-07:00
Archives départementales de la Marne,archives-d-partementales-de-la-marne,France,Europe,FR-FRAD051,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD051,True,True,http://archives.marne.fr,YouTube,"https://www.youtube.com/watch?v=6fxloe7XbS8"",""openInNewWindow"":false,""title"":""Tutoriel",Tutoriel pour chercher la référence d'un journal conservé aux Archives départementales de la Marne,Tutoriel pour chercher la référence d'un journal conservé aux Archives départementales de la Marne,Ce tutoriel vous aide à trouver sur le site portail des Archives de la Marne (archives.marne.fr) la référence d'un journal conservé et répond par exemple aux...,2022-09-29T01:01:42-07:00
Archives départementales de Mayotte,archives-d-partementales-de-mayotte,France,Europe,FR-FR976,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FR976,True,True,https://www.mayotte.fr/le-conseil-departemental/institution/services-administratifs/archives,YouTube,https://www.youtube.com/embed/_G9gmYQbFuI?modestbranding=1&showinfo=0&hl=fr&autoplay=0&rel=0,YouTube,YouTube,,
Archives départementales de Mayotte,archives-d-partementales-de-mayotte,France,Europe,FR-FR976,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FR976,True,True,https://www.mayotte.fr/le-conseil-departemental/institution/services-administratifs/archives,YouTube,https://www.youtube.com/embed/_G9gmYQbFuI?modestbranding=1&showinfo=0&hl=fr&autoplay=1&rel=0,YouTube,YouTube,,
Archives départementales des Côtes-d'Armor,archives-d-partementales-des-c-tes-d-armor,France,Europe,FR-FRAD022,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD022,True,True,http://archives.cotesdarmor.fr/,YouTube,https://www.youtube.com/embed/-eV2dOA5gks?si=1vsNAFP8ynA7GjpA,YouTube,YouTube,,
Archives départementales des Côtes-d'Armor,archives-d-partementales-des-c-tes-d-armor,France,Europe,FR-FRAD022,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD022,True,True,http://archives.cotesdarmor.fr/,YouTube,https://www.youtube.com/embed/pjqRs6dvFA8?si=XLb15vvVsIK9yEFu,YouTube,YouTube,,
Archives départementales des Côtes-d'Armor,archives-d-partementales-des-c-tes-d-armor,France,Europe,FR-FRAD022,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD022,True,True,http://archives.cotesdarmor.fr/,YouTube,https://www.youtube.com/embed/okSF7mH7t8c?si=PhrYLZNjF1H_m26x,YouTube,YouTube,,
Archives départementales des Côtes-d'Armor,archives-d-partementales-des-c-tes-d-armor,France,Europe,FR-FRAD022,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD022,True,True,http://archives.cotesdarmor.fr/,YouTube,https://www.youtube.com/embed/jVFmuxQyiDo?si=rY-gBpcCqurB_dQH,YouTube,YouTube,,
Archives départementales du Maine-et-Loire,archives-d-partementales-du-maine-et-loire,France,Europe,FR-FRAD049,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD049,True,True,http://www.archives49.fr,YouTube,https://www.youtube.com/watch?v=Pq7GBqqFqsM&list=PLbreF58clmv4VD7pshushheoThgMR4EYh&index=1,Incontournable #2 : le premier rapport de Michel Debré sur la libération du Maine-et-Loire en 1944,Incontournable #2 : le premier rapport de Michel Debré sur la libération du Maine-et-Loire en 1944,Le deuxième « Incontournable » : le premier rapport de Michel Debré sur la libération du Maine-et-Loire en août 1944.Dans le cadre du 80e anniversaire de la ...,2025-04-22T06:44:59-07:00
Archives départementales du Val-de-Marne,archives-d-partementales-du-val-de-marne,France,Europe,FR-FRAD094,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD094,True,True,http://archives.valdemarne.fr/,Vimeo,https://vimeo.com/761732467,,,,
Centre national des archives de l'Eglise de France,centre-national-des-archives-de-l-eglise-de-france,France,Europe,FR-00000028898,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028898,True,True,https://cnaef.catholique.fr/,YouTube,https://www.youtube.com/embed/ipUiRCPeJmk?feature=oembed,YouTube,YouTube,,
Centre national des archives de l'Eglise de France,centre-national-des-archives-de-l-eglise-de-france,France,Europe,FR-00000028898,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028898,True,True,https://cnaef.catholique.fr/,YouTube,https://www.youtube.com/embed/Kj-8lKflWqY?feature=oembed,YouTube,YouTube,,
Centre national des archives de l'Eglise de France,centre-national-des-archives-de-l-eglise-de-france,France,Europe,FR-00000028898,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028898,True,True,https://cnaef.catholique.fr/,YouTube,https://www.youtube.com/embed/Bum2aPA7PYo?feature=oembed,YouTube,YouTube,,
Centre national des archives de l'Eglise de France,centre-national-des-archives-de-l-eglise-de-france,France,Europe,FR-00000028898,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028898,True,True,https://cnaef.catholique.fr/,YouTube,https://www.youtube.com/embed/c-XDVE7fmjQ?feature=oembed,YouTube,YouTube,,
Bistum Osnabrück. Diözesanarchiv,bistum-osnabr-ck-di-zesanarchiv,Germany,Europe,DE-2276,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2276,True,True,http://www.bistum-osnabrueck.de,Instagram,https://www.instagram.com/p/DWEVfSfj88k,"Bistum Osnabrück on Instagram: ""Müdigkeitsgebet für dich 🙏 Vielleicht spürst du gerade das Wetter, die Veränderungen - alles ist im Aufbruch. 🌷 Du kannst dieses Gebet für dich nutzen, es weiterschicken oder teilen. ""Gott, ich bin müde. Alles ist im Aufbruch – aber ich komme gerade nicht hinterher. Schenk mir Geduld mit mir selbst sowie die nötige Ruhe und Gelassenheit. Und die Kraft für kleine Schritte. Hilf mir, dich zu spüren - in einem Sonnenstrahl, in einem Atemzug, in diesem Tag. Amen."" #gebet #frühjahrsmüdigkeit #müdigkeitsgebet #müde""","Bistum Osnabrück on Instagram: ""Müdigkeitsgebet für dich 🙏 Vielleicht spürst du gerade das Wetter, die Veränderungen - alles ist im Aufbruch. 🌷 Du kannst dieses Gebet für dich nutzen, es weiterschicken oder teilen. ""Gott, ich bin müde. Alles ist im Aufbruch – aber ich komme gerade nicht hinterher. Schenk mir Geduld mit mir selbst sowie die nötige Ruhe und Gelassenheit. Und die Kraft für kleine Schritte. Hilf mir, dich zu spüren - in einem Sonnenstrahl, in einem Atemzug, in diesem Tag. Amen."" #gebet #frühjahrsmüdigkeit #müdigkeitsgebet #müde""","bistumosnabrueck on March 19, 2026: ""Müdigkeitsgebet für dich 🙏 Vielleicht spürst du gerade das Wetter, die Veränderungen - alles ist im Aufbruch. 🌷 Du kannst dieses Gebet für dich nutzen, es weiterschicken oder teilen. ""Gott, ich bin müde. Alles ist im Aufbruch – aber ich komme gerade nicht hinterher. Schenk mir Geduld mit mir selbst sowie die nötige Ruhe und Gelassenheit. Und die Kraft für kl...",
