institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Archives départementales de la Dordogne,archives-d-partementales-de-la-dordogne,France,Europe,FR-FRAD024,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD024,True,True,http://archives.dordogne.fr,https://archives.dordogne.fr/action-culturelle-educative/action-culturelle,ok,200,0,0,,
Archives départementales de la Dordogne,archives-d-partementales-de-la-dordogne,France,Europe,FR-FRAD024,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD024,True,True,http://archives.dordogne.fr,https://archives.dordogne.fr/archives-numerisees/genealogie,ok,200,0,0,,
Archives départementales de la Dordogne,archives-d-partementales-de-la-dordogne,France,Europe,FR-FRAD024,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD024,True,True,http://archives.dordogne.fr,https://archives.dordogne.fr/actualites/a-la-une/atelier-patrimoine-faites-de-lhistoire-,ok,200,0,0,,
Archives départementales de la Dordogne,archives-d-partementales-de-la-dordogne,France,Europe,FR-FRAD024,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD024,True,True,http://archives.dordogne.fr,https://archives.dordogne.fr/archives-numerisees/assistance-publique-service-des-enfants-assistes-hospice-de-perigueux,ok,200,0,0,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,https://archives.ladrome.fr/page/tarifs-de-reproduction,ok,200,0,0,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,https://archives.ladrome.fr/page/credits,ok,200,0,0,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,https://archives.ladrome.fr/page/mars-2026,ok,200,3,7,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,https://archives.ladrome.fr/page/photo-cherche-legende-,ok,200,0,0,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,https://archives.ladrome.fr/page/suivre-notre-actualite-,ok,200,0,0,,
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,https://www.archivesguadeloupe.fr/collection/bumidom/,ok,200,0,0,,
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,https://www.archivesguadeloupe.fr/collection/guerre-dalgerie/,ok,200,1,1,,
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,https://www.archivesguadeloupe.fr/collection/parcours-de-femmes/,ok,200,2,3,,
Archives départementales de la Haute-Loire,archives-d-partementales-de-la-haute-loire,France,Europe,FR-FRAD043,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD043,True,True,http://www.archives43.fr,https://www.archives43.fr/archives-en-ligne/familles-et-individus-en-haute-loire,ok,200,0,0,,
Archives départementales de la Haute-Loire,archives-d-partementales-de-la-haute-loire,France,Europe,FR-FRAD043,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD043,True,True,http://www.archives43.fr,https://www.archives43.fr/archives-en-ligne/autres-fonds-iconographiques,ok,200,0,0,,
Archives départementales de la Haute-Loire,archives-d-partementales-de-la-haute-loire,France,Europe,FR-FRAD043,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD043,True,True,http://www.archives43.fr,https://www.archives43.fr/vos-archives/archives-publiques,ok,200,0,0,,
Archives départementales de la Haute-Loire,archives-d-partementales-de-la-haute-loire,France,Europe,FR-FRAD043,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD043,True,True,http://www.archives43.fr,https://www.archives43.fr/archives-en-ligne/archives-sonores,ok,200,0,0,,
Archives départementales de la Haute-Loire,archives-d-partementales-de-la-haute-loire,France,Europe,FR-FRAD043,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD043,True,True,http://www.archives43.fr,https://www.archives43.fr/archives-en-ligne/presse-departementale-ancienne/presse-ancienne-du-departement-de-la-haute-loire,ok,200,0,0,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,https://archives.haute-marne.fr/rechercher/communicabilite-reproduction-reutilisation/regles-de-reproduction-et-reutilisation,ok,200,0,0,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,https://archives.haute-marne.fr/rechercher/aide-la-recherche/guides-et-aides-thematiques/faire-lhistoire-dune-propriete,ok,200,3,3,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,https://archives.haute-marne.fr/rechercher/consulter-sur-place/preparer-sa-visite,ok,200,0,0,,
Archives départementales de la Haute-Marne,archives-d-partementales-de-la-haute-marne,France,Europe,FR-FRAD052,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD052,True,True,http://archives.haute-marne.fr/,https://archives.haute-marne.fr/nous-contacter,ok,200,0,0,,
