institution,slug,country,continent,repository_code,archive_type,euscreen_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,DR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_AC1E7CE044F34F0F82FFF58C37C8FCEE,Kangaroo bike.,DR,Kangaroo bike. New Danish invention. Erik Tuxen and personnel from State Radio includes racing on scooters like bicycles.,,Kangaroo bike.,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_FC3C684F3E28486CB77273AB9DEA3311,La Ciotat: a hundred years of Pétanque,INA,"The first ever bowling pitch was created at La Ciotat in 1907. In 1958, a federation was set up and international competitions were held.",,La Ciotat: a hundred years of Pétanque,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_407F7762D7B01868343E6BBEBFDA3850,Landes cow race in Bayonne,INA,"In Bayonne, daring enthusiasts try to take on Landes cows, with more or less skill.",,Landes cow race in Bayonne,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,CT,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_D326CB022C154E86A2371BF37143C42B,Let’s do some exercises! 03/01/1972,CT,"The first part of a regular cycle of warm-up exercises on television, in which two professional trainers perform various exercises with musical accompaniment and the televiewers do the exercises after them to improve their physical condition.",,Let’s do some exercises! 03/01/1972,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,CT,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_19AA6881D190402C815ECAA5E0E99635,Louis Armstrong in Prague,CT,"A kaleidoscope of pictures depicting Louis Armstrong’s stay in Prague in 1965. He is accompanied by his wife and personal physician on this travel. He performed with his orchestra in the Great Hall of Lucerna. After the concert, he visited the Semafor theatre, where he could see the improvised programme in his honour.",,Louis Armstrong in Prague,,Visita e descoberta do arquivo,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,CT,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_284785C3073A4E669613B7DD4E518AE4,Lybar Hair Spray,CT,The commercial from the first half of the 1970s on hair spray “Lybar”.,,Lybar Hair Spray,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_41F1DA4227DB43C1AF9F8A6E7F606C36,Maria Callas sings the,INA,"On stage at the Opéra in Paris, for a concert broadcast for Eurovision, Maria Callas sings the air for Casta Diva from Bellini's Norma . She is accompanied by the Paris Orchestra directed by Georges Sebastian.",,Maria Callas sings the,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_DD5A286675EE415894693ED77BCC41A5,Meda: women football,LUCE,Amused commentary of a women football match between a team from Rome and one from Milan,,Meda: women football,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTP,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_2D494F63F159D1F8E3FDC2063735C093,Memories of Castelo Branco,RTP,"Television programme of a historical and cultural nature hosted by José Hermano Saraiva. This programme is dedicated to the city of Castelo Branco, located in the Beira Baixa region, in the central part of Portugal, with an emphasis on the surrounding landscape and on traditional crafts.",,Memories of Castelo Branco,,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_AD2E918684BF475D90BAF85F3761F7A4,Mothers' Day,INA,"Every year in May, mothers are celebrated all over the country. They receive small gifts and tokens of affection. The Vichy regime instituted this day in 1941, as part of its pro-birth policy.",,Mothers' Day,,Comunicação institucional,Agregador audiovisual europeu
