institution,slug,country,continent,repository_code,archive_type,ert_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=48&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 48 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=49&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 49 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=50&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 50 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=51&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 51 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=52&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 52 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=53&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 53 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=54&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 54 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=55&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 55 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=56&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 56 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=57&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 57 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
