institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%90%D0%A2%D0%95%D0%9D%D0%A2%D0%90%D0%A2%D0%AA%D0%A2%20%D0%92%20%22%D0%A1%D0%92%D0%95%D0%A2%D0%90%20%D0%9D%D0%95%D0%94%D0%95%D0%9B%D0%AF%22/bnfa::8cdebbe1793961313a1382051f3a859b,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%8A%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%D1%8A%2010/bnfa::d2824609524273fdab0a3542b11ae450,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%91%D0%90%D0%9B%D0%9A%D0%90%D0%9D%D0%A1%D0%9A%D0%90%D0%A2%D0%90%20%D0%92%D0%9E%D0%99%D0%9D%D0%90%201912-1913/bnfa::db90a429f2bd6b5946311a06a834383b,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%8A%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%D1%8A%2010%20A/bnfa::65e7fe1616d6bab5d2808176cf0dc7b4,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%91%D0%9E%D0%9C%D0%91%D0%98%20%D0%9D%D0%90%D0%94%20%D0%A1%D0%9E%D0%A4%D0%98%D0%AF/bnfa::ecb39369fbe857bc978029ee07e09aef,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2028/bnfa::ac0097a1d51773a73ca52ce147056233,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9D%D0%90%D0%A8%D0%95%D0%A2%D0%9E%20%D0%9C%D0%9E%D0%A0%D0%95/bnfa::ad358f91a3d50ae2811df8c05585219e,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2054/bnfa::1074997459d2211f035059c0eb5bab80,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%A2%D0%A0%D0%AF%D0%92%D0%9D%D0%90/bnfa::173c440ea02fec6c40911ec539cd33f8,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2056/bnfa::2ab8088d25a865b88459325da84da9f7,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
