institution,slug,country,continent,repository_code,archive_type,csc_cineteca_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/la-cineteca-nazionale-celebra-la-giornata-mondiale-dellaudiovisivo-con-i-suoi-due-ultimi-restauri-padre-padrone-e-in-nome-della-legge/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/ritratti-e-autoritratti-il-libro-di-felice-laudadio-presentato-alla-casa-del-cinema/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/presentato-alla-casa-del-cinema-il-libro-alberto-sordi-edito-da-csc-ed-edizioni-sabinae/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/anna-maria-guarnieri-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/massimo-cantini-parrini-a-santa-croce-in-gerusalemme/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/20-dicembre-2015-il-csc-premia-ennio-morricone/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/cinema-trevi-2017-felice-laudadio-consegna-a-ennio-morricone-il-premio-cicognini/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/in-ricordo-di-amedeo-nazzari-a-quarantanni-dalla-scomparsa-proponiamo-unintervista-alla-figlia-evelina-nazzari/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/la-presentazione-alla-casa-del-cinema-dei-numeri-di-bianco-e-nero-dedicati-a-monicelli-e-lizzani/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/riproponiamo-questa-magnifica-masterclass-tenuta-da-ennio-morricone-al-csc-nel-1988/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
