institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
Museene i Sør-Trøndelag,museene-i-s-r-tr-ndelag,Norway,Europe,NO-00000028291,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028291,,http://www.mist.museum.no/,True,True
Museet Midt IKS,museet-midt-iks,Norway,Europe,NO-00000028292,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028292,Municipal archives,http://museetmidt.no/,True,True
Museum Vest,museum-vest,Norway,Europe,NO-00000028926,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028926,,https://www.museumvest.no,True,True
Museumssenteret i Hordaland avd. Osterøy museum,museumssenteret-i-hordaland-avd-oster-y-museum,Norway,Europe,NO-00000028293,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028293,,https://muho.no/,True,True
Næs Jernverksmuseum,n-s-jernverksmuseum,Norway,Europe,NO-00000028924,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028924,,https://www.jernverksmuseet.no,True,True
"Najsonalmuseet for kunst, arkitektur og design",najsonalmuseet-for-kunst-arkitektur-og-design,Norway,Europe,NO-00000028294,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028294,,http://www.nasjonalmuseet.no/,True,True
National Archives of Norway,national-archives-of-norway,Norway,Europe,NO---,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO---,,,False,True
NAV Øst-Viken Dokumententer - Nord,nav-st-viken-dokumententer-nord,Norway,Europe,NO-00000028839,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028839,,https://www.nav.no/no/person,True,True
NLM-arkivet,nlm-arkivet,Norway,Europe,NO-00000028295,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028295,Church and religious archives,http://www.nlm.no/nlm/om-nlm/hovedkontoret/nlm-arkivet,True,True
Nordlandsmuseet,nordlandsmuseet,Norway,Europe,NO-00000028316,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028316,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://nordlandsmuseet.no/,True,True
Nordmøre Museum,nordm-re-museum,Norway,Europe,NO-00000028908,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028908,,https://www.nordmore.museum.no/,True,True
Nordøsterdalsmuseet,nord-sterdalsmuseet,Norway,Europe,NO-00000028296,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028296,,http://www.nordosterdalsmuseet.no/3698.918.Hovedside.html,True,True
Norges hjemmefrontmuseum,norges-hjemmefrontmuseum,Norway,Europe,NO-00000028297,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028297,National archives,http://forsvaretsmuseer.no/Hjemmefrontmuseet,True,True
Norsk folkemuseum,norsk-folkemuseum,Norway,Europe,NO-00000028298,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028298,National archives,https://norskfolkemuseum.no/,True,True
Norsk helsearkiv,norsk-helsearkiv,Norway,Europe,NO-00000028913,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028913,,https://www.arkivverket.no/om-oss/norsk-helsearkiv,True,True
Norsk industriarbeidermuseum,norsk-industriarbeidermuseum,Norway,Europe,NO-00000028299,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028299,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://vemork.visitvemork.com/,True,True
Norsk luftfartsmuseum,norsk-luftfartsmuseum,Norway,Europe,NO-00000028300,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028300,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.luftfartsmuseum.no/,True,True
Norsk Maritimt Museum,norsk-maritimt-museum,Norway,Europe,NO-00000028301,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028301,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://www.marmuseum.no/no/,True,True
Norsk skogmuseum,norsk-skogmuseum,Norway,Europe,NO-00000028302,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028302,,http://www.skogmus.no/?page=69,True,True
Norsk Teknisk Museum,norsk-teknisk-museum,Norway,Europe,NO-00000028303,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028303,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.tekniskmuseum.no/,True,True
Norsk Vegmuseum,norsk-vegmuseum,Norway,Europe,NO-00000028823,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028823,,https://vegmuseum.no/,True,True
NTNU Universitetsbiblioteket,ntnu-universitetsbiblioteket,Norway,Europe,NO-00000028304,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028304,University and research archives,https://www.ntnu.no/ub,True,True
